! CMT, C1209, 00000001, 25.3.3/1
! Date: 15/10/2025 16:00:55
! Stimulus(Hz),    S11(dB)
6.52502750000E+09,-3.52337828583E-01
6.57002700000E+09,-3.55868924862E-01
6.61502650000E+09,-3.58815074923E-01
6.66002600000E+09,-3.60630052123E-01
6.70502550000E+09,-3.59996532098E-01
6.75002500000E+09,-3.55058139066E-01
6.79502450000E+09,-3.54857468568E-01
6.84002400000E+09,-3.52946362736E-01
6.88502350000E+09,-3.50347587630E-01
6.93002300000E+09,-3.43265667060E-01
6.97502250000E+09,-3.37558676130E-01
7.02002200000E+09,-3.29791439917E-01
7.06502150000E+09,-3.23225102096E-01
7.11002100000E+09,-3.14502474815E-01
7.15502050000E+09,-3.04424736683E-01
7.20002000000E+09,-2.87200231945E-01
7.24501950000E+09,-2.75393883088E-01
7.29001900000E+09,-2.57242949388E-01
7.33501850000E+09,-2.45004727320E-01
7.38001800000E+09,-2.29893321258E-01
7.42501750000E+09,-2.14832195519E-01
7.47001700000E+09,-1.98712608652E-01
7.51501650000E+09,-1.81759593477E-01
7.56001600000E+09,-1.62807016131E-01
7.60501550000E+09,-1.45806708139E-01
7.65001500000E+09,-1.26757275011E-01
7.69501450000E+09,-1.07657048371E-01
7.74001400000E+09,-8.91729993047E-02
7.78501350000E+09,-6.64187943529E-02
7.83001300000E+09,-4.44389363758E-02
7.87501250000E+09,-2.76926023585E-02
7.92001200000E+09,-3.75436190290E-03
7.96501150000E+09,+1.47136869012E-02
8.01001100000E+09,+3.92811445377E-02
8.05501050000E+09,+6.04041051436E-02
8.10001000000E+09,+8.46277007598E-02
8.14500950000E+09,+1.07021520596E-01
8.19000900000E+09,+1.33983818318E-01
8.23500850000E+09,+1.50607246028E-01
8.28000800000E+09,+1.78499566649E-01
8.32500750000E+09,+1.98629437807E-01
8.37000700000E+09,+2.17309484894E-01
8.41500650000E+09,+2.41161885090E-01
8.46000600000E+09,+2.63582166543E-01
8.50500550000E+09,+2.81576428696E-01
8.55000500000E+09,+3.02584808842E-01
8.59500450000E+09,+3.29925767066E-01
8.64000400000E+09,+3.51980660060E-01
8.68500350000E+09,+3.73480096489E-01
8.73000300000E+09,+3.94403776793E-01
8.77500250000E+09,+4.06874536122E-01
8.82000200000E+09,+4.23931347140E-01
8.86500150000E+09,+4.40125796916E-01
8.91000100000E+09,+4.53549152266E-01
8.95500050000E+09,+4.69015865492E-01
9.00000000000E+09,+4.81143310651E-01
